COMMUNITY AREA NAME,sum(KWH AUGUST 2010),sum(KWH MAY 2010),sum(KWH OCTOBER 2010),sum(KWH JUNE 2010),sum(KWH FEBRUARY 2010),sum(KWH DECEMBER 2010),sum(KWH NOVEMBER 2010),sum(KWH SEPTEMBER 2010),sum(KWH JULY 2010),sum(KWH JANUARY 2010),sum(KWH APRIL 2010),sum(KWH MARCH 2010)
North Park,10952604,10645485,8751910,12916242,8573226,10679796,11360708,8726990,12570623,8876533,8779141,8167988
Near North Side,158465269,131051613,119297677,151429911,134469938,179874978,145194095,136066286,164105236,144229369,112000092,118268260
North Center,14662017,11575216,10602659,16054043,9238168,14865033,12891653,10989120,17083810,9121512,8867187,8797493
Ashburn,16050164,13935993,11782283,18845801,10657440,16937727,15140879,11894014,20510478,10784936,10448903,10168703
Garfield Ridge,16525890,10696924,9005454,15173733,9027068,13042928,10745121,10398235,17801228,9587086,8735132,8183398
North Lawndale,12535176,9778012,9686044,10490209,9344160,13702546,12204229,11322615,12859575,8540070,8874733,9149570
Lincoln Park,41420785,31425713,28368218,39478559,27244024,40731118,33736525,31834193,42920332,28662486,25102611,25282095
Beverly,8034612,7797878,5942552,11195282,5900692,8455207,9192613,6252626,10944642,5624419,5716720,5386120
West Ridge,18351610,17786970,14445734,23293109,12863069,19035240,19215601,13610150,22804211,12698603,13321556,12182754
Chicago Lawn,12367994,9125726,8382348,11968303,7977978,13052593,10969587,8926113,13290135,7821448,7401325,7717301
New City,25708674,21567951,20629126,24145535,20973669,23688288,22907813,22702263,25419025,21014804,19992203,19908614
Oakland,1419228,1071981,1042316,1208318,1196113,1766215,1341302,1171270,1473224,1167476,1016543,1135873
Kenwood,7658192,5348114,4911982,6429937,4918380,6993064,6002072,5693213,7384091,5137525,4488093,4740613
O'Hare,6949547,7063995,6010869,8574943,5983565,7807646,8378617,5686523,8044997,6453190,5659495,5608607
Riverdale,11436353,14097800,11844321,14247128,13565130,2817456,12765569,12522343,15037819,11010248,13073931,12175426
Hegewisch,3375732,2215826,2064173,2943318,1741986,2726024,2378460,2427933,3740674,1565474,1907687,1664753
Calumet Heights,5674861,4922021,4671469,7080818,4237854,6769888,6089405,4362250,7566786,4501998,4158608,4176699
Washington Heights,6933142,6619047,6164580,9587672,5911010,8878762,9366207,5753014,9286594,6031666,5199625,5413034
Portage Park,20490482,16935543,14527184,23751425,13592616,21008200,18945524,14491579,26559929,13065852,13073414,12716656
Albany Park,12115646,10537220,9271782,14172588,8318671,13131077,12364558,9139269,14798474,8099814,8152326,8167825
